County,FIPS,Population
Asotin County WA,53003,22582
Benton County WA,53005,204390
Chelan County WA,53007,77200
Clallam County WA,53009,77331
Clark County WA,53011,488241
Columbia County WA,53013,3985
Cowlitz County WA,53015,110593
Douglas County WA,53017,43429
Ferry County WA,53019,7627
Franklin County WA,53021,95222
Garfield County WA,53023,2225
Grant County WA,53025,97733
Grays Harbor County WA,53027,75061
Island County WA,53029,85141
Jefferson County WA,53031,32221
King County WA,53033,2252782
Kitsap County WA,53035,271473
Kittitas County WA,53037,47935
Klickitat County WA,53039,22425
Lewis County WA,53041,80707
Lincoln County WA,53043,10939
Mason County WA,53045,66768
Okanogan County WA,53047,42243
Pacific County WA,53049,22471
Pend Oreille County WA,53051,13724
Pierce County WA,53053,904980
San Juan County WA,53055,17582
Skagit County WA,53057,129205
Skamania County WA,53059,12083
Snohomish County WA,53061,822083
Spokane County WA,53063,522798
Stevens County WA,53065,45723
Thurston County WA,53067,290536
Wahkiakum County WA,53069,4488
Walla Walla County WA,53071,60760
Whatcom County WA,53073,229247
Whitman County WA,53075,50104
Yakima County WA,53077,250873
Barbour County WV,54001,16441
Berkeley County WV,54003,119171
Boone County WV,54005,21457
Braxton County WV,54007,13957
Brooke County WV,54009,21939
Cabell County WV,54011,91945
Calhoun County WV,54013,7109
Clay County WV,54015,8508
Doddridge County WV,54017,8448
Fayette County WV,54019,42406
Gilmer County WV,54021,7823
Grant County WV,54023,11568
Greenbrier County WV,54025,34662
Hampshire County WV,54027,23175
Hancock County WV,54029,28810
Hardy County WV,54031,13776
Harrison County WV,54033,67256
Jackson County WV,54035,28576
Jefferson County WV,54037,57146
Kanawha County WV,54039,178124
Lewis County WV,54041,15907
Lincoln County WV,54043,20409
Logan County WV,54045,32019
McDowell County WV,54047,17624
Marion County WV,54049,56072
Marshall County WV,54051,30531
Mason County WV,54053,26516
Mercer County WV,54055,58758
Mineral County WV,54057,26868
Mingo County WV,54059,23424
Monongalia County WV,54061,105612
Monroe County WV,54063,13275
Morgan County WV,54065,17884
Nicholas County WV,54067,24496
Ohio County WV,54069,41411
Pendleton County WV,54071,6969
Pleasants County WV,54073,7460
Pocahontas County WV,54075,8247
Preston County WV,54077,33432
Putnam County WV,54079,56450
Raleigh County WV,54081,73361
Randolph County WV,54083,28695
Ritchie County WV,54085,9554
Roane County WV,54087,13688
Summers County WV,54089,12573
Taylor County WV,54091,16695
Tucker County WV,54093,6839
Tyler County WV,54095,8591
Upshur County WV,54097,24176
Wayne County WV,54099,39402
Webster County WV,54101,8114
Wetzel County WV,54103,15065
Wirt County WV,54105,5821
Wood County WV,54107,83518
Wyoming County WV,54109,20394
Adams County WI,55001,20220
Ashland County WI,55003,15562
Barron County WI,55005,45244
Bayfield County WI,55007,15036
Brown County WI,55009,264542
Buffalo County WI,55011,13031
Burnett County WI,55013,15414
Calumet County WI,55015,50089
Chippewa County WI,55017,64658
Clark County WI,55019,34774
Columbia County WI,55021,57532
Crawford County WI,55023,16131
Dane County WI,55025,546695
Dodge County WI,55027,87839
Door County WI,55029,27668
Douglas County WI,55031,43150
Dunn County WI,55033,45368
Eau Claire County WI,55035,104646
Florence County WI,55037,4295
Fond du Lac County WI,55039,103403
Forest County WI,55041,9004
Grant County WI,55043,51439
Green County WI,55045,36960
Green Lake County WI,55047,18913
Iowa County WI,55049,23678
Iron County WI,55051,5687
Jackson County WI,55053,20643
Jefferson County WI,55055,84769
Juneau County WI,55057,26687
Kenosha County WI,55059,169561
Kewaunee County WI,55061,20434
La Crosse County WI,55063,118016
Lafayette County WI,55065,16665
Langlade County WI,55067,19189
Lincoln County WI,55069,27593
Manitowoc County WI,55071,78981
Marathon County WI,55073,135692
Marinette County WI,55075,40350
Marquette County WI,55077,15574
Menominee County WI,55078,4556
Milwaukee County WI,55079,945726
Monroe County WI,55081,46253
Oconto County WI,55083,37930
Oneida County WI,55085,35595
Outagamie County WI,55087,187885
Ozaukee County WI,55089,89221
Pepin County WI,55091,7287
Pierce County WI,55093,42754
Polk County WI,55095,43783
Portage County WI,55097,70772
Price County WI,55099,13351
Racine County WI,55101,196311
Richland County WI,55103,17252
Rock County WI,55105,163354
Rusk County WI,55107,14178
St. Croix County WI,55109,90687
Sauk County WI,55111,64442
Sawyer County WI,55113,16558
Shawano County WI,55115,40899
Sheboygan County WI,55117,115340
Taylor County WI,55119,20343
Trempealeau County WI,55121,29649
Vernon County WI,55123,30822
Vilas County WI,55125,22195
Walworth County WI,55127,103868
Washburn County WI,55129,15720
Washington County WI,55131,136034
Waukesha County WI,55133,404198
Waupaca County WI,55135,50990
Waushara County WI,55137,24443
Winnebago County WI,55139,171907
Wood County WI,55141,72999
Albany County WY,56001,38880
Big Horn County WY,56003,11790
Campbell County WY,56005,46341
Carbon County WY,56007,14800
Converse County WY,56009,13822
Crook County WY,56011,7584
Fremont County WY,56013,39261
Goshen County WY,56015,13211
Hot Springs County WY,56017,4413
Johnson County WY,56019,8445
Laramie County WY,56021,99500
Lincoln County WY,56023,19830
Natrona County WY,56025,79858
Niobrara County WY,56027,2356
Park County WY,56029,29194
Platte County WY,56031,8393
Sheridan County WY,56033,30485
Sublette County WY,56035,9831
Sweetwater County WY,56037,42343
Teton County WY,56039,23464
Uinta County WY,56041,20226
Washakie County WY,56043,7805
Weston County WY,56045,6927
