County,FIPS,Population
Jackson County GA,13157,72977
Jasper County GA,13159,14219
Jeff Davis County GA,13161,15115
Jefferson County GA,13163,15362
Jenkins County GA,13165,8676
Johnson County GA,13167,9643
Jones County GA,13169,28735
Lamar County GA,13171,19077
Lanier County GA,13173,10423
Laurens County GA,13175,47546
Lee County GA,13177,29992
Liberty County GA,13179,61435
Lincoln County GA,13181,7921
Long County GA,13183,19559
Lowndes County GA,13185,117406
Lumpkin County GA,13187,33610
McDuffie County GA,13189,21312
McIntosh County GA,13191,14378
Macon County GA,13193,12947
Madison County GA,13195,29880
Marion County GA,13197,8359
Meriwether County GA,13199,21167
Miller County GA,13201,5718
Mitchell County GA,13205,21863
Monroe County GA,13207,27578
Montgomery County GA,13209,9172
Morgan County GA,13211,19276
Murray County GA,13213,40096
Muscogee County GA,13215,195769
Newton County GA,13217,111744
Oconee County GA,13219,40280
Oglethorpe County GA,13221,15259
Paulding County GA,13223,168667
Peach County GA,13225,27546
Pickens County GA,13227,32591
Pierce County GA,13229,19465
Pike County GA,13231,18962
Polk County GA,13233,42613
Pulaski County GA,13235,11137
Putnam County GA,13237,22119
Quitman County GA,13239,2299
Rabun County GA,13241,17137
Randolph County GA,13243,6778
Richmond County GA,13245,202518
Rockdale County GA,13247,90896
Schley County GA,13249,5257
Screven County GA,13251,13966
Seminole County GA,13253,8090
Spalding County GA,13255,66703
Stephens County GA,13257,25925
Stewart County GA,13259,6621
Sumter County GA,13261,29524
Talbot County GA,13263,6195
Taliaferro County GA,13265,1537
Tattnall County GA,13267,25286
Taylor County GA,13269,8020
Telfair County GA,13271,15860
Terrell County GA,13273,8531
Thomas County GA,13275,44451
Tift County GA,13277,40644
Toombs County GA,13279,26830
Towns County GA,13281,12037
Treutlen County GA,13283,6901
Troup County GA,13285,69922
Turner County GA,13287,7985
Twiggs County GA,13289,8120
Union County GA,13291,24511
Upson County GA,13293,26320
Walker County GA,13295,69761
Walton County GA,13297,94593
Ware County GA,13299,35734
Warren County GA,13301,5254
Washington County GA,13303,20374
Wayne County GA,13305,29927
Webster County GA,13307,2607
Wheeler County GA,13309,7855
White County GA,13311,30798
Whitfield County GA,13313,104628
Wilcox County GA,13315,8635
Wilkes County GA,13317,9777
Wilkinson County GA,13319,8954
Worth County GA,13321,20247
Hawaii County HI,15001,201513
Honolulu County HI,15003,974563
Kalawao County HI,15005,86
Kauai County HI,15007,72293
Maui County HI,15009,167417
Ada County ID,16001,481587
Adams County ID,16003,4294
Bannock County ID,16005,87808
Bear Lake County ID,16007,6125
Benewah County ID,16009,9298
Bingham County ID,16011,46811
Blaine County ID,16013,23021
Boise County ID,16015,7831
Bonner County ID,16017,45739
Bonneville County ID,16019,119062
Boundary County ID,16021,12245
Butte County ID,16023,2597
Camas County ID,16025,1106
Canyon County ID,16027,229849
Caribou County ID,16029,7155
Cassia County ID,16031,24030
Clark County ID,16033,845
Clearwater County ID,16035,8756
Custer County ID,16037,4315
Elmore County ID,16039,27511
Franklin County ID,16041,13876
Fremont County ID,16043,13099
Gem County ID,16045,18112
Gooding County ID,16047,15179
Idaho County ID,16049,16667
Jefferson County ID,16051,29871
Jerome County ID,16053,24412
Kootenai County ID,16055,165697
Latah County ID,16057,40108
Lemhi County ID,16059,8027
Lewis County ID,16061,3838
Lincoln County ID,16063,5366
Madison County ID,16065,39907
Minidoka County ID,16067,21039
Nez Perce County ID,16069,40408
Oneida County ID,16071,4531
Owyhee County ID,16073,11823
Payette County ID,16075,23951
Power County ID,16077,7681
Shoshone County ID,16079,12882
Teton County ID,16081,12142
Twin Falls County ID,16083,86878
Valley County ID,16085,11392
Washington County ID,16087,10194
Adams County IL,17001,65435
Alexander County IL,17003,5761
Bond County IL,17005,16426
Boone County IL,17007,53544
Brown County IL,17009,6578
Bureau County IL,17011,32628
Calhoun County IL,17013,4739
Carroll County IL,17015,14305
Cass County IL,17017,12147
Champaign County IL,17019,209689
Christian County IL,17021,32304
Clark County IL,17023,15441
Clay County IL,17025,13184
Clinton County IL,17027,37562
Coles County IL,17029,50621
Cook County IL,17031,5150233
Crawford County IL,17033,18667
Cumberland County IL,17035,10766
DeKalb County IL,17037,104897
De Witt County IL,17039,15638
Douglas County IL,17041,19465
DuPage County IL,17043,922921
Edgar County IL,17045,17161
Edwards County IL,17047,6395
Effingham County IL,17049,34008
Fayette County IL,17051,21336
Ford County IL,17053,12961
Franklin County IL,17055,38469
Fulton County IL,17057,34340
Gallatin County IL,17059,4828
Greene County IL,17061,12969
Grundy County IL,17063,51054
Hamilton County IL,17065,8116
Hancock County IL,17067,17708
Hardin County IL,17069,3821
Henderson County IL,17071,6646
Henry County IL,17073,48913
Iroquois County IL,17075,27114
Jackson County IL,17077,56750
Jasper County IL,17079,9610
Jefferson County IL,17081,37684
Jersey County IL,17083,21773
Jo Daviess County IL,17085,21235
Johnson County IL,17087,12417
Kane County IL,17089,532403
Kankakee County IL,17091,109862
Kendall County IL,17093,128990
Knox County IL,17095,49699
Lake County IL,17097,696535
LaSalle County IL,17099,108669
Lawrence County IL,17101,15678
Lee County IL,17103,34096
Livingston County IL,17105,35648
Logan County IL,17107,28618
McDonough County IL,17109,29682
McHenry County IL,17111,307774
McLean County IL,17113,171517
Macon County IL,17115,104009
Macoupin County IL,17117,44926
Madison County IL,17119,262966
Marion County IL,17121,37205
Marshall County IL,17123,11438
Mason County IL,17125,13359
Massac County IL,17127,13772
Menard County IL,17129,12196
Mercer County IL,17131,15437
Monroe County IL,17133,34637
Montgomery County IL,17135,28414
Morgan County IL,17137,33658
Moultrie County IL,17139,14501
Ogle County IL,17141,50643
Peoria County IL,17143,179179
Perry County IL,17145,20916
Piatt County IL,17147,16344
Pike County IL,17149,15561
Pope County IL,17151,4177
Pulaski County IL,17153,5335
Putnam County IL,17155,5739
Randolph County IL,17157,31782
Richland County IL,17159,15513
Rock Island County IL,17161,141879
St. Clair County IL,17163,259686
Saline County IL,17165,23491
Sangamon County IL,17167,194672
Schuyler County IL,17169,6768
Scott County IL,17171,4951
Shelby County IL,17173,21634
Stark County IL,17175,5342
Stephenson County IL,17177,44498
Tazewell County IL,17179,131803
Union County IL,17181,16653
Vermilion County IL,17183,75758
Wabash County IL,17185,11520
Warren County IL,17187,16844
Washington County IL,17189,13887
Wayne County IL,17191,16215
White County IL,17193,13537
Whiteside County IL,17195,55175
Will County IL,17197,690743
Williamson County IL,17199,66597
Winnebago County IL,17201,282572
Woodford County IL,17203,38459
Adams County IN,18001,35777
Allen County IN,18003,379299
Bartholomew County IN,18005,83779
Benton County IN,18007,8748
Blackford County IN,18009,11758
Boone County IN,18011,67843
Brown County IN,18013,15092
Carroll County IN,18015,20257
Cass County IN,18017,37689
Clark County IN,18019,118302
Clay County IN,18021,26225
Clinton County IN,18023,32399
Crawford County IN,18025,10577
Daviess County IN,18027,33351
Dearborn County IN,18029,49458
Decatur County IN,18031,26559
DeKalb County IN,18033,43475
Delaware County IN,18035,114135
Dubois County IN,18037,42736
Elkhart County IN,18039,206341
Fayette County IN,18041,23102
Floyd County IN,18043,78522
Fountain County IN,18045,16346
Franklin County IN,18047,22758
Fulton County IN,18049,19974
Gibson County IN,18051,33659
Grant County IN,18053,65769
Greene County IN,18055,31922
Hamilton County IN,18057,338011
Hancock County IN,18059,78168
Harrison County IN,18061,40515
Hendricks County IN,18063,170311
Henry County IN,18065,47972
Howard County IN,18067,82544
Huntington County IN,18069,36520
Jackson County IN,18071,44231
Jasper County IN,18073,33562
Jay County IN,18075,20436
Jefferson County IN,18077,32308
Jennings County IN,18079,27735
Johnson County IN,18081,158167
Knox County IN,18083,36594
Kosciusko County IN,18085,79456
LaGrange County IN,18087,39614
Lake County IN,18089,485493
LaPorte County IN,18091,109888
Lawrence County IN,18093,45370
Madison County IN,18095,129569
Marion County IN,18097,964582
Marshall County IN,18099,46258
Martin County IN,18101,10255
Miami County IN,18103,35516
Monroe County IN,18105,148431
Montgomery County IN,18107,38338
Morgan County IN,18109,70489
Newton County IN,18111,13984
Noble County IN,18113,47744
Ohio County IN,18115,5875
Orange County IN,18117,19646
Owen County IN,18119,20799
Parke County IN,18121,16937
Perry County IN,18123,19169
Pike County IN,18125,12389
Porter County IN,18127,170389
Posey County IN,18129,25427
Pulaski County IN,18131,12353
Putnam County IN,18133,37576
Randolph County IN,18135,24665
Ripley County IN,18137,28324
Rush County IN,18139,16581
St. Joseph County IN,18141,271826
Scott County IN,18143,23873
Shelby County IN,18145,44729
Spencer County IN,18147,20277
Starke County IN,18149,22995
Steuben County IN,18151,34594
Sullivan County IN,18153,20669
Switzerland County IN,18155,10751
Tippecanoe County IN,18157,195732
Tipton County IN,18159,15148
Union County IN,18161,7054
Vanderburgh County IN,18163,181451
Vermillion County IN,18165,15498
Vigo County IN,18167,107038
Wabash County IN,18169,30996
Warren County IN,18171,8265
Warrick County IN,18173,62998
Washington County IN,18175,28036
Wayne County IN,18177,65884
Wells County IN,18179,28296
White County IN,18181,24102
Whitley County IN,18183,33964
Adair County IA,19001,7152
Adams County IA,19003,3602
Allamakee County IA,19005,13687
Appanoose County IA,19007,12426
Audubon County IA,19009,5496
Benton County IA,19011,25645
Black Hawk County IA,19013,131228
Boone County IA,19015,26234
Bremer County IA,19017,25062
Buchanan County IA,19019,21175
Buena Vista County IA,19021,19620
Butler County IA,19023,14439
Calhoun County IA,19025,9668
Carroll County IA,19027,20165
Cass County IA,19029,12836
Cedar County IA,19031,18627
Cerro Gordo County IA,19033,42450
Cherokee County IA,19035,11235
Chickasaw County IA,19037,11933
Clarke County IA,19039,9395
Clay County IA,19041,16016
Clayton County IA,19043,17549
Clinton County IA,19045,46429
Crawford County IA,19047,16820
Dallas County IA,19049,93453
Davis County IA,19051,9000
Decatur County IA,19053,7870
Delaware County IA,19055,17011
Des Moines County IA,19057,38967
Dickinson County IA,19059,17258
Dubuque County IA,19061,97311
Emmet County IA,19063,9208
Fayette County IA,19065,19650
Floyd County IA,19067,15642
Franklin County IA,19069,10070
Fremont County IA,19071,6960
Greene County IA,19073,8888
Grundy County IA,19075,12232
Guthrie County IA,19077,10689
Hamilton County IA,19079,14773
Hancock County IA,19081,10630
Hardin County IA,19083,16846
Harrison County IA,19085,14049
Henry County IA,19087,19954
Howard County IA,19089,9158
Humboldt County IA,19091,9558
Ida County IA,19093,6860
Iowa County IA,19095,16184
Jackson County IA,19097,19439
Jasper County IA,19099,37185
Jefferson County IA,19101,18295
Johnson County IA,19103,151140
Jones County IA,19105,20681
Keokuk County IA,19107,10246
Kossuth County IA,19109,14813
Lee County IA,19111,33657
Linn County IA,19113,226706
Louisa County IA,19115,11035
Lucas County IA,19117,8600
Lyon County IA,19119,11755
Madison County IA,19121,16338
Mahaska County IA,19123,22095
Marion County IA,19125,33253
Marshall County IA,19127,39369
Mills County IA,19129,15109
Mitchell County IA,19131,10586
Monona County IA,19133,8615
Monroe County IA,19135,7707
Montgomery County IA,19137,9917
Muscatine County IA,19139,42664
O'Brien County IA,19141,13753
Osceola County IA,19143,5958
Page County IA,19145,15107
Palo Alto County IA,19147,8886
Plymouth County IA,19149,25177
Pocahontas County IA,19151,6619
Polk County IA,19153,490161
Pottawattamie County IA,19155,93206
Poweshiek County IA,19157,18504
Ringgold County IA,19159,4894
Sac County IA,19161,9721
Scott County IA,19163,172943
Shelby County IA,19165,11454
Sioux County IA,19167,34855
Story County IA,19169,97117
Tama County IA,19171,16854
Taylor County IA,19173,6121
Union County IA,19175,12241
Van Buren County IA,19177,7044
Wapello County IA,19179,34969
Warren County IA,19181,51466
Washington County IA,19183,21965
Wayne County IA,19185,6441
Webster County IA,19187,35904
Winnebago County IA,19189,10354
Winneshiek County IA,19191,19991
Woodbury County IA,19193,103107
Worth County IA,19195,7381
Wright County IA,19197,12562
Allen County KS,20001,12369
Anderson County KS,20003,7858
Atchison County KS,20005,16073
Barber County KS,20007,4427
Barton County KS,20009,25779
Bourbon County KS,20011,14534
Brown County KS,20013,9564
Butler County KS,20015,66911
Chase County KS,20017,2648
Chautauqua County KS,20019,3250
Cherokee County KS,20021,19939
Cheyenne County KS,20023,2657
Clark County KS,20025,1994
Clay County KS,20027,8002
Cloud County KS,20029,8786
Coffey County KS,20031,8179
Comanche County KS,20033,1700
Cowley County KS,20035,34908
Crawford County KS,20037,38818
Decatur County KS,20039,2827
Dickinson County KS,20041,18466
Doniphan County KS,20043,7600
Douglas County KS,20045,122259
Edwards County KS,20047,2798
Elk County KS,20049,2530
Ellis County KS,20051,28553
Ellsworth County KS,20053,6102
Finney County KS,20055,36467
Ford County KS,20057,33619
Franklin County KS,20059,25544
Geary County KS,20061,31670
Gove County KS,20063,2636
Graham County KS,20065,2482
Grant County KS,20067,7150
Gray County KS,20069,5988
Greeley County KS,20071,1232
Greenwood County KS,20073,5982
Hamilton County KS,20075,2539
Harper County KS,20077,5436
Harvey County KS,20079,34429
Haskell County KS,20081,3968
Hodgeman County KS,20083,1794
Jackson County KS,20085,13171
Jefferson County KS,20087,19043
Jewell County KS,20089,2879
Johnson County KS,20091,602401
Kearny County KS,20093,3838
Kingman County KS,20095,7152
Kiowa County KS,20097,2475
Labette County KS,20099,19618
Lane County KS,20101,1535
Leavenworth County KS,20103,81758
Lincoln County KS,20105,2962
Linn County KS,20107,9703
Logan County KS,20109,2794
Lyon County KS,20111,33195
McPherson County KS,20113,28542
Marion County KS,20115,11884
Marshall County KS,20117,9707
Meade County KS,20119,4033
Miami County KS,20121,34237
Mitchell County KS,20123,5979
Montgomery County KS,20125,31829
Morris County KS,20127,5620
Morton County KS,20129,2587
Nemaha County KS,20131,10231
Neosho County KS,20133,16007
Ness County KS,20135,2750
Norton County KS,20137,5361
Osage County KS,20139,15949
Osborne County KS,20141,3421
Ottawa County KS,20143,5704
Pawnee County KS,20145,6414
Phillips County KS,20147,5234
Pottawatomie County KS,20149,24383
Pratt County KS,20151,9164
Rawlins County KS,20153,2530
Reno County KS,20155,61998
Republic County KS,20157,4636
Rice County KS,20159,9537
Riley County KS,20161,74232
Rooks County KS,20163,4920
Rush County KS,20165,3036
Russell County KS,20167,6856
Saline County KS,20169,54224
Scott County KS,20171,4823
Sedgwick County KS,20173,516042
Seward County KS,20175,21428
Shawnee County KS,20177,176875
Sheridan County KS,20179,2521
Sherman County KS,20181,5917
Smith County KS,20183,3583
Stafford County KS,20185,4156
Stanton County KS,20187,2006
